mouse_ID;sample_type;counts_live_bacteria_per_wet_g
ABX033;ileal;0.88
ABX033;cecal;89100000.0
ABX034;ileal;2.73
ABX034;cecal;70900000.0
ABX035;ileal;1.51
ABX035;cecal;143000000.0
ABX036;ileal;5.52
ABX036;cecal;184000000.0
ABX037;ileal;2.04
ABX037;cecal;91500000.0
ABX038;ileal;13.8
ABX038;cecal;112000000.0
ABX039;ileal;6.16
ABX039;cecal;89900000.0
ABX040;ileal;1.95
ABX040;cecal;102000000.0
ABX041;ileal;14.7
ABX041;cecal;107000000.0
ABX042;ileal;3.83
ABX042;cecal;318000000.0
ABX043;ileal;2.08
ABX043;cecal;50300000.0
ABX044;ileal;0.764
ABX044;cecal;81800000.0
ABX045;ileal;3.62
ABX045;cecal;85500000.0
ABX046;ileal;1.23
ABX046;cecal;239000000.0
ABX047;ileal;2.79
ABX047;cecal;95300000.0
ABX048;ileal;6.8
ABX048;cecal;60900000.0
ABX049;ileal;2.02
ABX049;cecal;85500000.0
ABX050;ileal;1.1
ABX050;cecal;501000000.0
ABX051;ileal;4.24
ABX051;cecal;93700000.0
ABX052;ileal;1.21
ABX052;cecal;129000000.0
ABX053;ileal;3.99
ABX053;cecal;186000000.0
ABX054;ileal;2.73
ABX054;cecal;220000000.0
ABX055;ileal;1.39
ABX055;cecal;159000000.0
ABX056;ileal;1.84
ABX056;cecal;92100000.0
ABX057;ileal;1.83
ABX057;cecal;134000000.0
ABX058;ileal;5.59
ABX058;cecal;90400000.0
ABX059;ileal;1.85
ABX059;cecal;183000000.0
ABX060;ileal;7.0
ABX060;cecal;315000000.0
ABX061;ileal;7.12
ABX061;cecal;77300000.0
ABX062;ileal;1.64
ABX062;cecal;90500000.0
ABX063;ileal;4.0
ABX063;cecal;157000000.0
ABX064;ileal;5.62
ABX064;cecal;250000000.0
